ID,ANIMAL NAME,PHOTO,PROFILE,PHOTO LOCATION,ORIGINAL ID BY,SEX,TAGGED,PIT TAG,DNA,SAMPLE .,CU SAMPLE,DNA PLATE,WELL,NOTES,AGE,GENERAL LOCATION,DATE TAGGED,DATE DNA TAKEN,TAG 30/09,GENOTYPED,GENOTYPED SAMPLE NO,EXTACTED?,DATE EXTRACTED,DATE GENOTYPED,TAIL,BLOOD,SKIN,FAECES
1225,Trevor,TRUE,L,,CP,M,FALSE,,FALSE,,,,,,Adult,PGROUND,,,0,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1226,Umbrella,TRUE,L & R,,CP,M,TRUE,880098332,TRUE,No number on sheet but by order it should be RSP 592,,,,,Adult,SPEC,26/03/2018,26/03/2018,0,TRUE,,FALSE,,,TRUE,TRUE,FALSE,FALSE
1227,Pelotudo,TRUE,R,,CP,M,FALSE,,FALSE,,,,,,Adult,BROMS,,,0,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1228,Lillian,TRUE,L,,CP,F,FALSE,,FALSE,,,,,,Adult,ARID,,,0,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1230,Keith,TRUE,R,,CP,M,FALSE,,FALSE,,,,,,Adult,PGROUND,,,0,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1232,Parsley,TRUE,L & R,,CP,F,TRUE,880098311,TRUE,RSP 601,,,,,Adult,SPEC,28/03/2018,28/03/2018,0,TRUE,,FALSE,,,TRUE,TRUE,FALSE,FALSE
1233,Black,TRUE,L & R,,CP,M,FALSE,,FALSE,,,,,,Juvenile,SPEC,,,0,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1234,Celery,TRUE,R,,CP,F,FALSE,,FALSE,,,,,,Juvenile,ARID,,,0,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1235,Coralie,TRUE,L & R,,CP,F,TRUE,880098378,TRUE,RSP 621,,,,,Adult,SPEC,29/03/2018,29/03/2018,0,TRUE,,FALSE,,,TRUE,TRUE,FALSE,FALSE
1236,Blueberry,TRUE,L,,CP,F,FALSE,,FALSE,,,,,,Juvenile,BBABS,,,0,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1238,Saphir,TRUE,L,,CP,M,FALSE,,FALSE,,,,,,Juvenile,LAKE,,,0,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1240,Lurdes,TRUE,L & R,,CP,F,TRUE,880098352,TRUE,RSP 609,,,,,Adult,BBABS,29/03/2018,29/03/2018,0,FALSE,,FALSE,,,FALSE,TRUE,FALSE,TRUE
1241,Bulbasaur,TRUE,L,,CP,M,FALSE,,FALSE,,,,,,Juvenile,PGROUND,,,0,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1242,Malen,TRUE,R,,CP,F,FALSE,,FALSE,,,,,,Juvenile,SPEC,,,0,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1243,Gerald,TRUE,R,,CP,M,FALSE,,FALSE,,,,,,Juvenile,SPEC,,,0,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1244,Pocket,TRUE,L & R,,CP,M,TRUE,880098334,TRUE,RSP 570,,,,,Juvenile,PGROUND,26/03/2018,26/03/2018,0,TRUE,,FALSE,,,FALSE,FALSE,FALSE,TRUE
1245,Lesley,TRUE,L,,CP,F,FALSE,,FALSE,,,,,,Adult,ARID,,,0,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1247,Renacuaja,TRUE,L,,CP,F,FALSE,,FALSE,,,,,,Juvenile,RAINFST,,,0,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1248,Cinderella,TRUE,L & R,,CP,F,TRUE,001026367033,TRUE,RSP 691,,,,,Juvenile,ARID,14/11/2018,14/11/2018,0,FALSE,,FALSE,,,FALSE,TRUE,FALSE,FALSE
1249,Dracula,TRUE,L,,CP,M,FALSE,,FALSE,,,,,,Adult,RAINFST,,,0,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
